hash,block,blocktime,from,label,to,label,value,fee
0x60ef062ffb25a1f1f263b0dc8642a1c8c1f4f6d3b56021d4ae4cc6a05a29984c,10970726,2020-10-01 22:44:55,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0039
0x6294eac40f94c02ada98debb45fa0fc2ffddb996fec8070aadf0e4ec85f41169,10970778,2020-10-01 22:55:39,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0x9e1ba807a382b9e3ae727dd4e20ae132fe14fdbee360b309775d33d55171ff21,10970826,2020-10-01 23:03:11,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0038
0x7117179508bd5fa38becb68a23e529999d2230df5d44888e972a22210f8fe64e,10971145,2020-10-02 00:12:55,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0054
0x4f5c0902695cac7c3d288a803922132a660c447edde1be0c95f93dade9ee1c38,10971283,2020-10-02 00:44:10,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0079
0x0043a38c84d54fb2c7bc0de57bee3a349aefd77dd4f2243844a15fd713f671d5,10971285,2020-10-02 00:44:37,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0079
0x5363d095042a564226bd4c724787d3703f60dccbff26064593d64fe04413f746,10971307,2020-10-02 00:48:35,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0111
0x55c011d24a11b5b371a6740cdec5ed02d9073ace3515785a4fa54c94dd4fb680,10971327,2020-10-02 00:53:43,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0118
0x7d608d3542e9a8ee30882feb014874e2306248d87959db5a7ea74d9362e979b2,10971329,2020-10-02 00:53:54,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0088
0x4fb128ea6ae91f2d445424d0b0da48d266330ad7aad3afd0743294ddebedcda3,10971334,2020-10-02 00:54:36,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0117
0xf6b8da129fafcdb1273ed6f2b46cb88ca7dca45c771d344b0765237f13daa2a3,10971338,2020-10-02 00:55:22,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0086
0x67834da680d5f8ca6d91ffc479fb7258ff79d0b9df0cd5d0b4a980387e4e79c0,10971340,2020-10-02 00:55:30,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0086
0x83b3ab74a8856379959338e2a48b3b82c37b53eac761151fb1aeee7d61b1255d,10971343,2020-10-02 00:56:27,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0086
0x347bbed61dc8baf2cc0ad6239c57ea196b590ad8b6e5768c1150895805fea194,10971349,2020-10-02 00:57:06,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0086
0x62d8a7b6b3ee9ad4d1c8ef60b05703c6352f3c5f01b9f65e041cebf0cfc11121,10971352,2020-10-02 00:57:45,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0086
0x91311924db7cd502aa0d39fb2fe0d3aeecb4c092761e1751f1010548c8c8fbd3,10971366,2020-10-02 01:01:20,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0094
0x9eac578f630ffce55607a4289b31b77f0e56d8ccb003b40d01c6891ad38786bf,10971371,2020-10-02 01:02:32,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0094
0xdad89d8aedbd3b57116a2d6cfcde3395d56e0b84e56114260c303a9b88e8e365,10971371,2020-10-02 01:02:32,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0131
0xde5de045af91c97583bddc3f542d51e31b669c6e581db86aa2f4a67e71060934,10971671,2020-10-02 02:03:02,0xdbb7e5bf95d58c067f50f4c36fbebb4dfb837913,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.005
